backend,category,shape,cpu_threads,cpu_total_ms,gpu_total_ms,gpu_speedup_x,cpu_gflops,gpu_gflops,cpu_cv_percent,gpu_cv_percent,cpu_active_threads_mode,cpu_schedule
T-MAC W4A16,Large Square,4096x4096x4096,8,703.746787,1.985536,354.436680,195.296030,69220.076328,0.316991,0.020225,8,"unstable: bm=128,bn=16,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W4A16,Large Square,4096x4096x4096,16,534.600293,1.985536,269.247343,257.087314,69220.076328,0.131161,0.020225,16,"stable: bm=128,bn=16,kfactor=16 (5/5), 1 schedule(s)"
T-MAC W4A16,Rectangular,4096x1024x2048,1,261.730782,0.277504,943.160394,65.639468,61908.546125,0.780460,0.000000,1,"mostly stable: bm=512,bn=32,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W4A16,Rectangular,4096x1024x2048,2,199.841624,0.277504,720.139616,85.967422,61908.546125,0.307260,0.000000,2,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Rectangular,4096x1024x2048,4,92.259657,0.277504,332.462440,186.212151,61908.546125,0.517684,0.000000,4,"unstable: bm=512,bn=64,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W4A16,Rectangular,4096x1024x2048,8,87.337454,0.277504,314.725027,196.706778,61908.546125,0.469646,0.000000,8,"stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)"
T-MAC W4A16,Rectangular,4096x1024x2048,16,67.262203,0.277504,242.382823,255.416392,61908.546125,0.625446,0.000000,16,"unstable: bm=256,bn=16,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W4A16,Medium Rectangular,1024x1024x512,1,16.375781,0.032768,499.749176,65.568893,32768.000000,0.436593,0.000000,1,"unstable: bm=256,bn=32,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Medium Rectangular,1024x1024x512,2,12.423204,0.032768,379.126099,86.430346,32768.000000,0.311507,0.000000,2,"mostly stable: bm=256,bn=64,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W4A16,Medium Rectangular,1024x1024x512,4,5.991228,0.032768,182.837769,179.218989,32768.000000,0.365026,0.000000,4,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W4A16,Medium Rectangular,1024x1024x512,8,5.941969,0.032768,181.334503,180.704717,32768.000000,0.253029,0.000000,8,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Medium Rectangular,1024x1024x512,16,4.764327,0.032768,145.395721,225.371144,32768.000000,2.106573,0.000000,16,"unstable: bm=256,bn=64,kfactor=16 (2/5), 3 schedule(s)"
