backend,dtype,category,shape,threads,runs,total_mean_ms,total_median_ms,total_std_ms,total_min_ms,total_max_ms,cv_percent,gflops_mean,gflops_median,checksum_min,checksum_max,autotuned,active_threads_mode,schedule,schedule_unique_count,schedule_mode_count
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,8,5,9.267410,9.266275,0.018237,9.250816,9.297711,0.196781,231.724963,231.752635,-5410.264071,-5410.264071,True,8,"unstable: bm=384,bn=64,kfactor=16 (1/5), 5 schedule(s)",5,1
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,16,5,7.708810,7.717369,0.210823,7.377918,7.952039,2.734831,278.744746,278.266291,-5410.264071,-5410.264071,True,16,"unstable: bm=192,bn=8,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,1,5,1528.413080,1525.537472,7.165344,1522.727701,1540.846860,0.468809,89.924222,90.092152,401197.316422,401197.316422,True,1,"mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,2,5,1157.366524,1155.878909,4.167331,1153.360989,1163.839171,0.360070,118.752679,118.904283,401197.316422,401197.316422,True,2,"unstable: bm=192,bn=8,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,4,5,538.892249,535.192432,8.480691,534.387448,554.035065,1.573727,255.089272,256.802872,401197.316422,401197.316422,True,4,"mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,8,5,528.050603,527.235345,1.898260,525.908874,530.059579,0.359485,260.278793,260.678566,401197.316422,401197.316422,True,8,"mostly stable: bm=192,bn=16,kfactor=16 (3/5), 2 schedule(s)",2,3
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,16,5,399.183079,398.961016,0.838353,398.238245,400.293860,0.210017,344.301764,344.492188,401197.316422,401197.316422,True,16,"mostly stable: bm=192,bn=16,kfactor=16 (3/5), 2 schedule(s)",2,3
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,1,5,191.456220,190.971060,1.138049,190.512622,193.259410,0.594417,89.735150,89.960590,6093.842096,6093.842096,True,1,"mostly stable: bm=192,bn=32,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,2,5,143.695770,143.352917,0.790056,142.986604,145.007061,0.549811,119.560114,119.843178,6093.842096,6093.842096,True,2,"mostly stable: bm=192,bn=32,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,4,5,67.359032,67.211462,0.570543,66.833206,68.329701,0.847018,255.063744,255.609217,6093.842096,6093.842096,True,4,"mostly stable: bm=192,bn=32,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,8,5,66.265543,66.219955,0.115342,66.184272,66.465122,0.174060,259.258584,259.436437,6093.842096,6093.842096,True,8,"mostly stable: bm=192,bn=16,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,16,5,50.994290,50.788347,0.427459,50.561178,51.637365,0.838249,336.916748,338.263996,6093.842096,6093.842096,True,16,"unstable: bm=384,bn=8,kfactor=16 (1/5), 5 schedule(s)",5,1
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,1,5,12.416176,12.423117,0.021582,12.379428,12.435859,0.173822,86.479476,86.430952,2688.264268,2688.264268,True,1,"mostly stable: bm=768,bn=16,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,2,5,9.507785,9.499478,0.028443,9.486410,9.556920,0.299154,112.933711,113.031666,2688.264268,2688.264268,True,2,"unstable: bm=768,bn=16,kfactor=16 (1/5), 5 schedule(s)",5,1
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,4,5,4.640488,4.643847,0.011093,4.624171,4.652758,0.239048,231.386609,231.218174,2688.264268,2688.264268,True,4,"mostly stable: bm=768,bn=32,kfactor=16 (3/5), 2 schedule(s)",2,3
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,8,5,4.679478,4.674270,0.012760,4.667602,4.694283,0.272679,229.458951,229.713265,2688.264268,2688.264268,True,8,"unstable: bm=192,bn=16,kfactor=16 (2/5), 3 schedule(s)",3,2
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,16,5,3.795130,3.791776,0.018151,3.774241,3.823776,0.478260,282.931423,283.176491,2688.264268,2688.264268,True,16,"unstable: bm=384,bn=64,kfactor=16 (1/5), 5 schedule(s)",5,1
T-MAC W4A16,W4A16,Small Square,256x256x256,1,5,0.580445,0.580571,0.001214,0.578991,0.582260,0.209160,57.808358,57.795570,889.251963,889.251963,True,1,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Small Square,256x256x256,2,5,0.455023,0.455328,0.001036,0.453219,0.455839,0.227674,73.742648,73.692881,889.251963,889.251963,True,2,"unstable: bm=512,bn=32,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Small Square,256x256x256,4,5,0.249397,0.249835,0.001063,0.248005,0.250325,0.426258,134.544311,134.306370,889.251963,889.251963,True,4,"unstable: bm=128,bn=32,kfactor=16 (1/5), 5 schedule(s)",5,1
T-MAC W4A16,W4A16,Small Square,256x256x256,8,5,0.253379,0.253265,0.001263,0.251545,0.254885,0.498464,132.430470,132.487442,889.251963,889.251963,True,8,"unstable: bm=256,bn=64,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Small Square,256x256x256,16,5,0.242573,0.241894,0.003004,0.240005,0.247734,1.238269,138.344126,138.715437,889.251963,889.251963,True,16,"unstable: bm=512,bn=16,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,1,5,32.012752,31.985418,0.113819,31.917416,32.195476,0.355542,67.082808,67.139459,-2796.425557,-2796.425557,True,1,"unstable: bm=128,bn=64,kfactor=16 (2/5), 3 schedule(s)",3,2
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,2,5,24.291187,24.275236,0.057412,24.215753,24.368520,0.236351,88.406270,88.463966,-2796.425557,-2796.425557,True,2,"stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,4,5,11.895015,11.834163,0.124025,11.815216,12.111978,1.042667,180.551950,181.464768,-2796.425557,-2796.425557,True,4,"stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)",1,5
